date,state_territory,state,population_estimate,positive_increase,total_tests_viral,positive_cases_viral,total_test_encounters_viral,rate_of_new_cases,rate_of_pcr_tests,percent_positivity,new_case_moving_ave,pcr_test_moving_ave,percent_positivity_moving_ave
2020-08-11,Colorado,CO,5695564,379,NA,47651,810276,6.65430148796502,14226.440085652623,0.05880835665871876,6.980369785528326,14202.73492041977,0.058944781101632704
2020-08-10,Colorado,CO,5695564,336,NA,47367,801739,5.899327968222287,14076.551505698118,0.05908032414538896,6.942746520424869,14025.110469430996,0.0592504564314767
2020-08-09,Colorado,CO,5695564,431,NA,47083,791022,7.5672927211422785,13888.387524045029,0.05952173264460407,7.642539251349196,13848.486797293974,0.05955563358705519
2020-08-08,Colorado,CO,5695564,457,NA,46656,779670,8.023788337730908,13689.074514832946,0.0598407018353919,7.702736475514729,13621.753952474492,0.0600425578523386
2020-08-07,Colorado,CO,5695564,448,NA,46200,766473,7.865770624296383,13457.367874366788,0.060276095831164306,7.384192830972114,13400.140379926754,0.060501257103083905
2020-08-06,Colorado,CO,5695564,594,NA,45755,754644,10.429169086678685,13249.679926342678,0.06063123804071854,7.667621428084835,13181.476471363127,0.06096319243565037
2020-08-05,Colorado,CO,5695564,426,NA,45177,727026,7.479505102567542,12764.776236383263,0.06213945581038367,7.73534330527106,12963.090974961266,0.061404868660821815
2020-08-04,Colorado,CO,5695564,252,NA,44773,721921,4.424495976166715,12675.145077818455,0.062019251413935876,8.106559520958516,12741.602813297206,0.06187066214298584
2020-08-03,Colorado,CO,5695564,449,NA,44527,714560,7.88332814801133,12545.90414575273,0.06231387147335423,8.00623081401596,12521.75753420933,0.06231580233408584
2020-08-02,Colorado,CO,5695564,458,NA,44077,703954,8.041345861445855,12359.689049232,0.0626134662208042,7.725310434576804,12305.050035431083,0.06276676575008704
2020-08-01,Colorado,CO,5695564,605,NA,43626,691365,10.622301847543106,12138.657383184527,0.06310125621054002,8.535464743137943,12127.66637333897,0.06306422423887027
2020-07-31,Colorado,CO,5695564,408,NA,43032,678823,7.163469675698491,11918.450920751658,0.06339207716886434,8.477775736645974,11919.602192663824,0.0634603279030243
2020-07-30,Colorado,CO,5695564,482,NA,42626,668245,8.46272643060459,11732.727434894947,0.06378798195272692,8.723581068655236,11721.49061971738,0.06381295822951671
2020-07-29,Colorado,CO,5695564,749,NA,42149,656305,13.150585262495515,11523.090601738475,0.06422166523186629,9.603965472076164,11521.828968248672,0.06416423036228788
2020-07-28,Colorado,CO,5695564,229,NA,41400,638968,4.020672930722927,11218.695813092434,0.06479197706301411,9.75696675016356,11312.906977129169,0.06450536099716707
2020-07-27,Colorado,CO,5695564,547,NA,41174,635575,9.603965472076164,11159.123135127618,0.06478228375880109,10.27867602626485,11101.985936523834,0.06485648409874796
